time_s,chassis_travel_mm,front_left_smoothed_mm,front_right_smoothed_mm,rear_left_smoothed_mm,rear_right_smoothed_mm,front_left_raw_mm,front_right_raw_mm,rear_left_raw_mm,rear_right_raw_mm
0.118000,23.600000,37.804695,37.804695,46.786800,46.786800,-46.883878,-46.883878,17.119600,17.119600
0.120000,24.000000,37.992884,37.992884,46.786800,46.786800,-46.784027,-46.784027,17.424400,17.424400
0.122000,24.400000,38.179012,38.179012,46.786800,46.786800,-46.683051,-46.683051,17.729200,17.729200
0.124000,24.800000,38.363069,38.363069,46.786800,46.786800,-46.580954,-46.580954,18.034000,18.034000
0.126000,25.200000,38.545045,38.545045,46.786800,46.786800,-46.495019,-46.495019,18.288000,18.288000
0.128000,25.600000,38.724931,38.724931,46.786800,46.786800,-46.390875,-46.390875,18.592800,18.592800
0.130000,26.000000,38.902718,38.902718,46.786800,46.786800,-46.285619,-46.285619,18.897600,18.897600
0.132000,26.400000,39.078398,39.078398,46.786800,46.786800,-46.197059,-46.197059,19.151600,19.151600
0.134000,26.800000,39.251965,39.251965,46.786800,46.786800,-46.089774,-46.089774,19.456400,19.456400
0.136000,27.200000,39.423409,39.423409,46.786800,46.786800,-45.981387,-45.981387,19.761200,19.761200
0.138000,27.600000,39.592726,39.592726,46.786800,46.786800,-45.871901,-45.871901,20.066000,20.066000
0.140000,28.000000,39.759909,39.759909,46.786800,46.786800,-45.779826,-45.779826,20.320000,20.320000
0.142000,28.400000,39.924952,39.924952,46.786800,46.786800,-45.668334,-45.668334,20.624800,20.624800
0.144000,28.800000,40.087851,40.087851,46.786800,46.786800,-45.555753,-45.555753,20.929600,20.929600
0.146000,29.200000,40.248601,40.248601,46.786800,46.786800,-45.442086,-45.442086,21.234400,21.234400
0.148000,29.600000,40.407199,40.407199,46.786800,46.786800,-45.346535,-45.346535,21.488400,21.488400
0.150000,30.000000,40.563640,40.563640,46.786800,46.786800,-45.230885,-45.230885,21.793200,21.793200
0.152000,30.400000,40.717923,40.717923,46.786800,46.786800,-45.114157,-45.114157,22.098000,22.098000
0.154000,30.800000,40.870046,40.870046,46.786800,46.786800,-45.016063,-45.016063,22.352000,22.352000
0.156000,31.200000,41.020006,41.020006,46.786800,46.786800,-44.897368,-44.897368,22.656800,22.656800
0.158000,31.600000,41.167802,41.167802,46.786800,46.786800,-44.777605,-44.777605,22.961600,22.961600
0.160000,32.000000,41.313433,41.313433,46.786800,46.786800,-44.656775,-44.656775,23.266400,23.266400
0.162000,32.400000,41.456901,41.456901,46.786800,46.786800,-44.555273,-44.555273,23.520400,23.520400
0.164000,32.800000,41.598204,41.598204,46.786800,46.786800,-44.432498,-44.432498,23.825200,23.825200
0.166000,33.200000,41.737345,41.737345,46.786800,46.786800,-44.308665,-44.308665,24.130000,24.130000
0.168000,33.600000,41.874324,41.874324,46.786800,46.786800,-44.183779,-44.183779,24.434800,24.434800
0.170000,34.000000,42.009145,42.009145,46.786800,46.786800,-44.078903,-44.078903,24.688800,24.688800
0.172000,34.400000,42.141809,42.141809,46.786800,46.786800,-43.952091,-43.952091,24.993600,24.993600
0.174000,34.800000,42.272320,42.272320,46.786800,46.786800,-43.824233,-43.824233,25.298400,25.298400
0.176000,35.200000,42.400682,42.400682,46.786800,46.786800,-43.716887,-43.716887,25.552400,25.552400
0.178000,35.600000,42.526898,42.526898,46.786800,46.786800,-43.587118,-43.587118,25.857200,25.857200
0.180000,36.000000,42.650975,42.650975,46.786800,46.786800,-43.456310,-43.456310,26.162000,26.162000
0.182000,36.400000,42.772916,42.772916,46.786800,46.786800,-43.324467,-43.324467,26.466800,26.466800
0.184000,36.800000,42.892729,42.892729,46.786800,46.786800,-43.213808,-43.213808,26.720800,26.720800
0.186000,37.200000,43.010418,43.010418,46.786800,46.786800,-43.080073,-43.080073,27.025600,27.025600
0.188000,37.600000,43.125993,43.125993,46.786800,46.786800,-42.945310,-42.945310,27.330400,27.330400
0.190000,38.000000,43.239459,43.239459,46.786800,46.786800,-42.809522,-42.809522,27.635200,27.635200
0.192000,38.400000,43.350825,43.350825,46.786800,46.786800,-42.695583,-42.695583,27.889200,27.889200
0.194000,38.800000,43.460099,43.460099,46.786800,46.786800,-42.557921,-42.557921,28.194000,28.194000
0.196000,39.200000,43.567292,43.567292,46.786800,46.786800,-42.419241,-42.419241,28.498800,28.498800
0.198000,39.600000,43.672411,43.672411,46.786800,46.786800,-42.302899,-42.302899,28.752800,28.752800
0.200000,40.000000,43.775467,43.775467,46.786800,46.786800,-42.162359,-42.162359,29.057600,29.057600
0.202000,40.400000,43.876472,43.876472,46.786800,46.786800,-42.020808,-42.020808,29.362400,29.362400
0.204000,40.800000,43.975435,43.975435,46.786800,46.786800,-41.878249,-41.878249,29.667200,29.667200
0.206000,41.200000,44.072368,44.072368,46.786800,46.786800,-41.758681,-41.758681,29.921200,29.921200
0.208000,41.600000,44.167284,44.167284,46.786800,46.786800,-41.614279,-41.614279,30.226000,30.226000
0.210000,42.000000,44.260195,44.260195,46.786800,46.786800,-41.468875,-41.468875,30.530800,30.530800
0.212000,42.400000,44.351115,44.351115,46.786800,46.786800,-41.322472,-41.322472,30.835600,30.835600
0.214000,42.800000,44.440055,44.440055,46.786800,46.786800,-41.199708,-41.199708,31.089600,31.089600
0.216000,43.200000,44.527032,44.527032,46.786800,46.786800,-41.051479,-41.051479,31.394400,31.394400
0.218000,43.600000,44.612059,44.612059,46.786800,46.786800,-40.902257,-40.902257,31.699200,31.699200
0.220000,44.000000,44.695151,44.695151,46.786800,46.786800,-40.777149,-40.777149,31.953200,31.953200
0.222000,44.400000,44.776323,44.776323,46.786800,46.786800,-40.626113,-40.626113,32.258000,32.258000
